type	synonym_id	repository_of_synonym_id	associated_id	domain_description	domain_category	data_location	id	study.id	participant.id	sample.id
synonym	5363358_dbGaP_subject_id	dbGaP_subject_id	5363358	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	cb78ce89-3a32-5e32-8069-54f9615dc96b			0c52d86e-16a3-5b90-8f2f-0dcdc4569b17
synonym	5363341_dbGaP_subject_id	dbGaP_subject_id	5363341	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	e04b9d50-b7f8-5dea-a4ae-3adaaa7871b8			edbe47d8-7353-5f44-a697-5e416d9ff45e
synonym	4012597_dbGaP_subject_id	dbGaP_subject_id	4012597	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	e0569475-bd6b-5ddf-a9fc-3b64f555ea13		68055cda-9479-5f59-8be5-f680e87039c8	
synonym	5363366_dbGaP_subject_id	dbGaP_subject_id	5363366	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	e18fafba-dfca-5680-91cc-64f603bec456			9ed6785a-a95f-5ef9-ad6a-ea6401c5dac5
synonym	5363342_dbGaP_subject_id	dbGaP_subject_id	5363342	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	e3d79d7d-3c10-55ae-b850-307cc16eaa76			99e98a10-a3df-5931-9097-162ab5ecb7df
synonym	5363335_dbGaP_subject_id	dbGaP_subject_id	5363335	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	e7ac209a-9a1e-5eee-a058-095ecb3eed31			349a8d49-5162-5e0d-aaef-015b4a7ee581
synonym	4012586_dbGaP_subject_id	dbGaP_subject_id	4012586	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	e82ef06d-f11c-57bd-99a0-f00a61d09828		facd7af0-9ca8-58e0-95f8-3ccb149edd9c	
synonym	5363344_dbGaP_subject_id	dbGaP_subject_id	5363344	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	ea876852-ee89-55b6-9465-347551d25848			2036f5b3-f523-51d3-a45f-e35e0472f3df
synonym	4012596_dbGaP_subject_id	dbGaP_subject_id	4012596	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	f2ed881d-ffc2-5978-b8c7-bfcbc715881b		0ae2fd34-f125-5b73-9dfa-84d683b5ddd7	
synonym	4012575_dbGaP_subject_id	dbGaP_subject_id	4012575	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	f60ed89d-a96e-5c31-9341-96b02d2539e3		c1df72d4-4280-5dd8-b439-07dd63f2255b	
synonym	4012599_dbGaP_subject_id	dbGaP_subject_id	4012599	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	f6d3cdfc-3712-5427-850b-42029dfb8953		9c3a8c7b-7200-55e4-a9b5-9fd0e9a23154	
synonym	5363337_dbGaP_subject_id	dbGaP_subject_id	5363337	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	fbaa14a5-cef8-5d67-9e0b-31a10bc4705c			37d9b337-9b8a-551d-b170-6ec68cfd11e9
