sample_id	sample_type	type	participant.study_participant_id	sample_tumor_status
HTA7_1_108_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_109_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_803_6786201_RNA	RNA	sample	phs002371_HTA1_803	Not specified in data
HTA7_1_134_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_316_991302_RNA	RNA	sample	phs002371_HTA1_316	Not specified in data
HTA7_1_156_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_880_7179601_RNA	RNA	sample	phs002371_HTA1_880	Not specified in data
HTA7_1_114_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_9999991586_84599_DNA	DNA	sample	phs002371_HTA11_9999991586	Not specified in data
HTA12_31_2_RNA	RNA	sample	phs002371_HTA12_31	Not specified in data
HTA11_10167_2000001011_RNA	RNA	sample	phs002371_HTA11_10167	Not specified in data
HTA11_6182_2000001011_RNA	RNA	sample	phs002371_HTA11_6182	Not specified in data
HTA10_04_206_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA11_8099_2000002011_RNA	RNA	sample	phs002371_HTA11_8099	Not specified in data
HTA11_6134_2000009901_DNA	DNA	sample	phs002371_HTA11_6134	Not specified in data
HTA7_1_230_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_51_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA12_23_4_DNA	DNA	sample	phs002371_HTA12_23	Not specified in data
HTA1_795_6301201_RNA	RNA	sample	phs002371_HTA1_795	Not specified in data
HTA7_1_43_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_106_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_147_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_8622_2000002011_RNA	RNA	sample	phs002371_HTA11_8622	Not specified in data
HTA10_18_020_RNA	RNA	sample	phs002371_HTA10_18	Not specified in data
HTA11_99999959180_84225_DNA	DNA	sample	phs002371_HTA11_99999959180	Not specified in data
HTA12_27_1_DNA	DNA	sample	phs002371_HTA12_27	Not specified in data
HTA7_1_75_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_213_6752601_RNA	RNA	sample	phs002371_HTA1_213	Not specified in data
HTA1_683_6769201_RNA	RNA	sample	phs002371_HTA1_683	Not specified in data
HTA12_30_1_DNA	DNA	sample	phs002371_HTA12_30	Not specified in data
HTA7_1_117_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_211_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_8622_2000001011_RNA	RNA	sample	phs002371_HTA11_8622	Not specified in data
HTA7_1_142_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_782_6211201_RNA	RNA	sample	phs002371_HTA1_782	Not specified in data
HTA7_1_29_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_87_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_210_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_8622_2000001011_DNA	DNA	sample	phs002371_HTA11_8622	Not specified in data
HTA11_8504_2000002021_RNA	RNA	sample	phs002371_HTA11_8504	Not specified in data
HTA7_1_53_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
